Review,Size,Comfort,Features,star_rating
NA,['6'],"The upper of this shoe is made with at least 20% recycled materials as a step toward a better future
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel","A mix of different durable leather materials
Cupsole tooling with elevated profile height and a TPU heel piece
PUMA Formstrip on medial and lateral sides
PUMA No. 1 Logo on tongue",NA
NA,"['3', '4', '5', '6', '7', '8']",NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package,"Mesh base upper with a translucent monomesh
Rubber outsole
Heel type: Flat
Soft PU coated leather on the vamp and bottom eyestay
Synthetic leather heel overlay and top eyestay
Shoe width: Regular fit
Shoe pronation: Neutral
PUMA Wordmark and Cat logo branding",NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group.,"Synthetic quarter panel and vamp
Leather back quarter panel and top tongue
Nubuck Formstrip
IMEVA midsole
Rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Synthetic quarter panel
Suede heel overlay
Leather Formstrip and eyestay with shimmery effect
Key ring charm attached to lace
Leather vamp with deco stitching lines
Platform
Rubber midsole
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']",Running System: PUMA's comfortable cushioning technology celebrates the reinvention of a unique moment and movement in culture,"Leather and textile upper
PU midsole
Rubber outsole
PUMA Formstrip on the lateral sides
PUMA Cat Logo on the tongue",NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Low Boot
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Synthetic upper
EVA and rubber midsole
EVA and rubber outsole
PUMA Formstrip on the lateral sides
PUMA No. 2 Logo on the tongue",NA
NA,"['4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Low Boot
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Synthetic upper
EVA and rubber midsole
EVA and rubber outsole
PUMA Formstrip on the lateral sides
PUMA No. 2 Logo on the tongue",NA
NA,['3'],"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Low boot
Leather upper
Unique injected design with BMW MMS pin",,NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of this shoe is made with at least 20% recycled materials and the bottom is made with at least 10% recycled materials, as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 14.0 mm
Synthetic and textile upper
EVA midsole
Rubber outsole
PUMA Formstrip on the lateral sides
PUMA Cat Logo on the heel",NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of this shoe is made with at least 20% recycled materials and the bottom is made with at least 10% recycled materials, as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 14.0 mm
Synthetic and textile upper
EVA midsole
Rubber outsole
PUMA Formstrip on the lateral sides
PUMA Cat Logo on the heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0.0 mm
Multicoloured upper
Rubber midsole
Rubber outsole
Synthetic leather PUMA Formstrip with nylon piping on side
PUMA branding details",,NA
NA,"['3', '4', '5', '6', '7']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Soft leather upper with mid-cut collar
Rubber midsole
Rubber outsole
PUMA Formstrip on side
PUMA branding on tongue label, upper and heel",NA
NA,"['3', '4', '5', '6', '7', '8']",The upper of this shoe is made with at least 30% recycled materials as a step toward a better future,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: mm
Textile base
Synthetic and textile upper
PU midsole
Rubber outsole
PUMA Formstrip on the lateral sides
PUMA Cat Logo on the heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Synthetic base
Synthetic Formstrip with metallic underlay
Leather eyestay and vamp
Textile tongue and collar
Webbing loop on heel
Rubber midsole
Rubber outsole",,NA
NA,"['3', '4', '5', '6', '7']",LWG: The leather sourced in this product comes from environmentally responsible leather manufacturing and is audited and certified via the Leather Working Group protocol,"Suede upper
Perforated details
IMEVA midsole
Rubber outsole
Perforated PUMA Formstrip on the sides",NA
NA,"['3', '4', '5', '6', '7']",LWG: The leather sourced in this product comes from environmentally responsible leather manufacturing and is audited and certified via the Leather Working Group protocol,"Suede upper
Perforated details
IMEVA midsole
Rubber outsole
Perforated PUMA Formstrip on the sides",NA
NA,"['3', '4', '5', '6', '7']",LWG: The leather sourced in this product comes from environmentally responsible leather manufacturing and is audited and certified via the Leather Working Group protocol,"Suede upper
EVA midsole
Rubber outsole
PUMA Formstrip on the sides",NA
NA,['3'],,,NA
NA,['5'],"SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
IMEVA: PUMA’s midsole for a lightweight and comfortable feel","Low boot
Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Synthetic leather upper
IMEVA midsole
Rubber outsole
Scalloped-edge PUMA Formstrip on the lateral and medial sides
Metallic PUMA Cat Logo on the heel",NA
NA,['8'],"Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral",,NA
NA,"['4', '6', '7']","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Synthetic Upper provides durability
Low boot Construction & union of lace jewels
Nitro cushioning offers great comfort
PUMA Logo for subtle look
Rubber Outsole for better traction",,NA
NA,['8'],"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Synthetic Upper provides durability
Low boot Construction & union of lace jewels
Nitro cushioning offers great comfort
PUMA Logo for subtle look
Rubber Outsole for better traction",,NA
NA,"['3', '4', '6']","TRINOMIC: Nineties-era technology designed to provide a balance between cushioning, flexibility and stability","Mesh base with synthetic leather overlays featuring debossed line details
EVA midsole
Rubber outsole
Synthetic leather PUMA Formstrip with embossed and printed details on lateral and medial sides
Printed and debossed PUMA Cat Logo on heel",NA
NA,['3'],,,NA
NA,"['3', '4', '7']","NITRO Infused: Enclosed nitrogen-injected foam designed to provide responsiveness and cushioning in a lightweight package
IMEVA: PUMA’s midsole for a lightweight and comfortable feel","Low boot
Textile and leather upper
Synthetic overlays, neoprene vamp
Textile collar and tongue
IMEVA midsole
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA lace jewel
Synthetic leather heel cap with foil-printed PUMA Cat Logo
Foil-printed NITRO branding on the quarter panel",NA
NA,"['4', '8']",SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Low boot
Suede upper
SoftFoam+ sockliner
Rubber cupsole
Lace closure
PUMA Formstrip at lateral side
Label with PUMA No. 1 Logo at tongue
PUMA No. 2 Logo at lateral side",NA
NA,['3'],"Vegan certified product
TRINOMIC: Nineties-era technology designed to provide a balance between cushioning, flexibility and stability","Textile base with synthetic leather overlays
CMEVA and IMEVA midsole
Rubber outsole
Synthetic leather PUMA Formstrip on lateral and medial sides
PUMA Cat branding on tongue and heel",NA
NA,['8'],LWG: The leather sourced in this product comes from environmentally responsible leather manufacturing and is audited and certified via the Leather Working Group protocol,"Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Hairy suede upper
EVA midsole
Rubber outsole
Textile stitch and turn tongue
Leather PUMA Formstrip on medial and lateral sides
Debossed, glossy printed PUMA branding on quarter panel",NA
NA,['3'],"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Mesh upper with synthetic overlays
CMEVA midsole
Rubber outsole
Hotmelt suede toecap underlay
Suede PUMA Formstrip on the lateral side with debossed lines, an iridescent underlay, zigzag stitches, and embroidered detail",,NA
NA,['3'],"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Mesh upper with synthetic overlays
CMEVA midsole
Rubber outsole
Hotmelt suede toecap underlay
Suede PUMA Formstrip on the lateral side with debossed lines, an iridescent underlay, zigzag stitches, and embroidered detail",,NA
NA,"['3', '4', '5', '6', '7', '8']","Leather upper
Rubber outsole
PUMA Formstrip on the medial and lateral side
PUMA Cat Logo on the heel",,NA
NA,"['4', '5', '6', '7']","Leather upper
Rubber outsole
PUMA Formstrip on the medial and lateral side
PUMA Cat Logo on the heel",,NA
NA,['4'],"IGNITE: PUMA’s unique PU Foam that provides responsiveness, maximum cushioning and energy return to propel you forward faster
IMEVA: PUMA’s midsole for a lightweight and comfortable feel","Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Textile upper
Lace fastening
Rubber outsole
IMEVA midsole
PUMA Cat Logo and Wordmark on the tongue
PUMA logo webbing strap
PUMA Cat logo at heel",NA
NA,['6'],"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Leather upper
Adjustable hook-and-loop strap
Rubber outsole
PUMA Wordmark and Cat logo on lateral side
PUMA Cat Logo on the heel
PUMA metallic Formstrip on lateral side",,NA
NA,"['3', '4', '5', '6', '7']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
IMEVA: PUMA’s midsole for a lightweight and comfortable feel","Low boot
Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Synthetic leather upper
IMEVA midsole
Rubber outsole
Scalloped-edge PUMA Formstrip on the lateral and medial sides
Metallic PUMA Cat Logo on the heel",NA
NA,['4'],"SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Mix of different durable leather materials
Rubber and TPU midsole
Rubber outsole
Cupsole tooling with elevated profile height
TPU heel piece
PUMA Formstrip on medial and lateral sides
PUMA No. 1 Logo label on tongue",NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
IMEVA: PUMA’s midsole for a lightweight and comfortable feel","Low boot
Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Synthetic leather upper
IMEVA midsole
Rubber outsole
Scalloped-edge PUMA Formstrip on the lateral and medial sides
Metallic PUMA Cat Logo on the heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Leather upper with suede and synthetic overlays
Glossy eyelets
Elevated rubber midsole with textured tooling
Rubber outsole
Lace closure for a snug fit
PUMA branding at tongue
Foil-printed PUMA No.2 Logo at quarter
PUMA Formstrip at medial and lateral sides
PUMA Wordmark at tooling
Foil-printed PUMA Cat Logo at heel",,NA
NA,"['4', '5', '6', '7', '8']","Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Leather upper with suede and synthetic overlays
Glossy eyelets
Elevated rubber midsole with textured tooling
Rubber outsole
Lace closure for a snug fit
PUMA branding at tongue
Foil-printed PUMA No.2 Logo at quarter
PUMA Formstrip at medial and lateral sides
PUMA Wordmark at tooling
Foil-printed PUMA Cat Logo at heel",,NA
NA,"['3', '4', '5', '6', '7', '8']","SoftFoam: PUMA’s dual-density insole provides two unique layers of cushioning for customised comfort, fit and long-lasting durability
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Tennis-inspired silhouette
Bootie construction
Premium leather upper
Cushioned footbed for optimum comfort
Rubber outsole for grip
Lace closure for a snug fit
PUMA Formstrip at medial and lateral sides
PUMA Logo at lateral side and tongue
PUMA Cat Logo at heel",NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Leather upper with suede and synthetic overlays
Glossy eyelets
Elevated rubber midsole with textured tooling
Rubber outsole
Lace closure for a snug fit
PUMA branding at tongue
Foil-printed PUMA No.2 Logo at quarter
PUMA Formstrip at medial and lateral sides
PUMA Wordmark at tooling
Foil-printed PUMA Cat Logo at heel",,NA
NA,"['3', '4', '5', '6', '7']",SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Synthetic upper
Rubber outsole
PUMA No. 1 Logo on tongue
PUMA Formstrip at lateral side",NA
NA,"['4', '5', '6', '7']"," Comfortable style by PUMA
PUMA branding details
Signature PUMA design elements",,NA
NA,"['3', '7']","SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
IMEVA: PUMA’s midsole for a lightweight and comfortable feel","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Low boot
Mesh and synthetic upper
EVA midsole for comfort
Rubber outsole for grip
PUMA No. 1 Logo at tongue
PUMA No. 2 Logo at lateral side
PUMA Cat Logo at back heel on outsole",NA
NA,"['6', '7']",CMEVA: PUMA's compression-moulded EVA material for lightweight performance,"Heel type: Platform
Shoe width: Regular fit
Low boot
Suede upper
EVA midsole
Rubber outsole
PUMA Formstrip to the side
Debossed and foil printed PUMA No. 2 Logo on quarter panel and heel
Woven PUMA Archive No. 1 Label screen printed on tongue",NA
NA,['3.5'],"Heel type: Flat
Low boot
Leather upper
Rubber midsole
Rubber outsole
PUMA Formstrip and other PUMA branding elements",,NA
NA,['7']," Comfortable style by PUMA
PUMA branding details
Signature PUMA design elements",,NA
NA,['3.5'],"Heel type: Flat
Shoe width: Regular fit
Low boot
Textile upper
EVA midsole
Rubber outsole
PUMA branding throughout",,NA
NA,,SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Synthetic upper
Rubber outsole
PUMA No. 1 Logo on tongue
PUMA Formstrip at lateral side",NA
NA,"['4', '5', '6', '7']",SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Textile upper
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Cat logo on webbing strap
PUMA Wordmark on heel",NA
NA,"['3', '4', '5', '6', '7']","Textile upper provides breathability & durabilty
Low boot construction with lace closure
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Wordmark on tongue
PUMA Formstrip on lateral side
Rubber Outsole for traction",,NA
NA,"['3', '4', '5', '6', '7', '8']","Textile upper provides breathability & durabilty
Low boot construction with lace closure
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Wordmark on tongue
PUMA Formstrip on lateral side
Rubber Outsole for traction",,NA
NA,"['3', '4', '5', '6', '7']",SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Textile upper
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Cat logo on webbing strap
PUMA Wordmark on heel",NA
NA,"['3', '4', '5', '6', '7']",SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
Textile upper
PUMA Formstrip on lateral side
Slip-on styling
EVA outsole",NA
NA,['6'],SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
Textile upper
PUMA Formstrip on lateral side
Slip-on styling
EVA outsole",NA
NA,"['3', '4', '5', '6', '7', '8']","SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Low boot with slip-on construction
Mesh upper with sock-like construction and elastic overlays
SoftFoam+ sockliner
Better Foam midsole
Rubber outsole",NA
NA,"['4', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
SOFTRIDE: Soft foam designed for all-day cushioning and comfort","Synthetic upper with lycra details
SOFTFOAM+ sockliner
Softride midsole
Stacked platform style
Rubber outsole",NA
NA,"['4', '5', '6', '7', '8']","Heel type: Flat
Shoe width: Regular fit
Low boot
Textile and mesh upper for comfort and breathability
Rubber outsole for traction
PUMA Cat Logo at toe and tongue
PUMA Wordmark and Cat logo tag at counter",,NA
NA,"['3', '4', '5', '6']","Heel type: Flat
Shoe width: Regular fit
Low boot
Textile and mesh upper for comfort and breathability
Rubber outsole for traction
PUMA Cat Logo at toe and tongue
PUMA Wordmark and Cat logo tag at counter",,NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of this shoe is made with at least 30% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8.0 mm
Textile upper
Synthetic midsole
Synthetic and rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']",SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Low boot
Mesh upper with sock-like construction and elastic overlays
SoftFoam+ sockliner
Better Foam midsole made with sustainable materials
PUMA Wordmark at lateral side
PUMA Cat Logo at toe
Ideal for firm ground surface",NA
NA,"['3', '5', '6', '7']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Slip-on construction
Rubber outsole
Metallic PUMA Cat Logo on the lateral heel
Ideal for firm ground surface",,NA
NA,"['3', '4', '5', '6', '7']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
SOFTRIDE: Soft foam designed for all-day cushioning and comfort","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Low boot
Slip-on construction
Gore and moulding details
Zoned rubber outsole
PUMA Cat Logo on the lateral side
PUMA Wordmark on the gore
Running Type : Neutral
Ideal for Road & Treadmil Running",NA
NA,"['3', '4', '6', '7']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 9.0 mm
Ideal for Road running
Bootie construction
Mesh upper with translucent overlays
Lace-through caging for a snug fit
Platform midsole
Zoned rubber outsole for enhanced traction
PUMA branding on tongue and heel
PUMA Youth: Recommended for older kids between 8 and 16 years",NA
NA,"['5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 9.0 mm
Ideal for Road running
Bootie construction
Mesh upper with translucent overlays
Lace-through caging for a snug fit
Platform midsole
Zoned rubber outsole for enhanced traction
PUMA branding on tongue and heel
PUMA Youth: Recommended for older kids between 8 and 16 years",NA
NA,"['5', '6', '7']","SOFTRIDE: Soft foam designed for all-day cushioning and comfort
FUZIONFIT+: Adaptive compression technology that locks down your foot and allows for moreexplosive movements on the pitch
ONE PIECE ENGINEERED KNIT: Trend relevant engineered bootie construction, designed for style and snug fit
COMFORT COLLAR: Padded collar for increased comfort and secure lock down","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Rubber and synthetic outsole
PUMA Cat Logo on the toe
PUMA Wordmark Logo debossed on the tongue pull",NA
NA,"['3', '4', '5']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Slip-on construction
Rubber outsole
Metallic PUMA Cat Logo on the lateral heel
Ideal for firm ground surface",,NA
NA,"['3', '7']",SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel,"Heel type: Flat
Shoe width: Regular fit
Easy on-and-off construction
Lightweight and breathable mesh upper with neoprene heel
IMEVA outsole
PUMA Cat Logo on elastic forefoot strap
PUMA Wordmark on heel",NA
NA,"['6', '7']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 9.0 mm
Ideal for Road running
Bootie construction
Mesh upper with translucent overlays
Lace-through caging for a snug fit
Platform midsole
Zoned rubber outsole for enhanced traction
PUMA branding on tongue and heel
PUMA Youth: Recommended for older kids between 8 and 16 years",NA
NA,['3'],SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Low boot
Upper features true slip-on construction
Tooling is stacked at a mini-platform level giving a true femme fashion point of view
SOFTRIDE technology for cushioning and comfort
SoftFoam+ sockliner for optimal step-in comfort
Zoned rubber on outsole for ultimate traction
Ideal for Road & Treadmill Walking",NA
NA,"['5', '7']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
SOFTRIDE: Soft foam designed for all-day cushioning and comfort","Synthetic upper with lycra details
SOFTFOAM+ sockliner
Softride midsole
Stacked platform style
Rubber outsole",NA
NA,"['4', '5', '6', '7']","SOFTRIDE: Soft foam designed for all-day cushioning and comfort
FUZIONFIT+: Adaptive compression technology that locks down your foot and allows for moreexplosive movements on the pitch
ONE PIECE ENGINEERED KNIT: Trend relevant engineered bootie construction, designed for style and snug fit
COMFORT COLLAR: Padded collar for increased comfort and secure lock down","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Rubber and synthetic outsole
PUMA Cat Logo on the toe
PUMA Wordmark Logo debossed on the tongue pull",NA
NA,"['3', '4', '6', '7', '8']",SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Low boot
Mesh upper with sock-like construction and elastic overlays
SoftFoam+ sockliner
Better Foam midsole made with sustainable materials
PUMA Wordmark at lateral side
PUMA Cat Logo at toe
Ideal for firm ground surface",NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of this shoe is made with at least 30% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8.0 mm
Textile upper
Synthetic midsole
Synthetic and rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 9.0 mm
Ideal for Road running
Bootie construction
Mesh upper with translucent overlays
Lace-through caging for a snug fit
Platform midsole
Zoned rubber outsole for enhanced traction
PUMA branding on tongue and heel
PUMA Youth: Recommended for older kids between 8 and 16 years",NA
NA,"['3', '4', '5']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Slip-on construction
Rubber outsole
Metallic PUMA Cat Logo on the lateral heel
Ideal for firm ground surface",,NA
NA,['4'],SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Mesh, synthetic leather upper
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Wordmark on webbing strap
PUMA Wordmark on heel
PUMA Cat logo on tongue",NA
NA,"['3', '4', '5', '6', '7', '8']",SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Low boot
Mesh upper with sock-like construction and elastic overlays
SoftFoam+ sockliner
Better Foam midsole made with sustainable materials
PUMA Wordmark at lateral side
PUMA Cat Logo at toe
Ideal for firm ground surface",NA
NA,,SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Textile upper
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Cat logo on webbing strap
PUMA Wordmark on heel",NA
NA,"['4', '5', '6', '7']","SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
IMEVA: PUMA’s midsole for a lightweight and comfortable feel","Mesh, neoprene upper
IMEVA outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
PUMA Cat logo on webbing strap
PUMA Wordmark on heel",NA
NA,"['3', '4']",SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Low boot
Mesh upper with sock-like construction and elastic overlays
SoftFoam+ sockliner
Better Foam midsole made with sustainable materials
PUMA Wordmark at lateral side
PUMA Cat Logo at toe
Ideal for firm ground surface",NA
NA,['7'],SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Textile upper
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Cat logo on webbing strap
PUMA Wordmark on heel",NA
NA,['7'],"SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
IMEVA: PUMA’s midsole for a lightweight and comfortable feel","Mesh, neoprene upper
IMEVA outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
PUMA Cat logo on webbing strap
PUMA Wordmark on heel",NA
NA,['4'],SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Low boot
Mesh upper with sock-like construction and elastic overlays
SoftFoam+ sockliner
Better Foam midsole made with sustainable materials
PUMA Wordmark at lateral side
PUMA Cat Logo at toe
Ideal for firm ground surface",NA
